"nqueens_32",1,1024,52608,0.0100865,841,134,1,52719,0.0252318,32419,0.0155161,200063,0.0957521,162744,0.0778909,1604515,0.767937,26581,0.0127219,4184,0.0020025,0,0,6159,0.00294776,5555,36.0149,2089384
"sudoku_9_3_3",1,729,8910,0.000903159,204,7,0,9022,0.200458,7691,0.170885,22446,0.498722,1921,0.0426822,3540,0.0786544,331,0.00735441,56,0.00124425,0,0,0,0,1163,19.3001,45007
"blocksworld",1,459,7054,0.000698359,33,12,0,7166,0.145662,2931,0.059578,23411,0.475872,7745,0.157431,7415,0.150724,432,0.0087812,96,0.00195138,0,0,0,0,2384,9.82005,49196
"blocksworldc",1,3016,50457,0.025372,1505,633,5,50569,0.00918584,167094,0.0303525,2791656,0.507103,1097205,0.199307,1337848,0.243019,32541,0.00591106,7646,0.00138889,0,0,20547,0.00373235,344595,8.10127,5505106
"4blocks",1,758,47820,0.0686156,12222,2199,13,48023,0.0031635,447739,0.0294946,5456526,0.359446,2328123,0.153364,6360251,0.418979,175889,0.0115866,44150,0.00290836,0,0,319660,0.0210575,148768,36.6781,15180361
"logisticsa",1,828,6718,0.00256743,1009,145,1,6833,0.0187081,50887,0.139324,155625,0.426087,59460,0.162796,83891,0.229686,6244,0.0170955,1414,0.00387141,0,0,888,0.00243126,10436,14.9123,365242
"logisticsb",1,843,7301,0.00438112,2096,282,2,7413,0.00995361,111787,0.150099,326335,0.438178,117028,0.157136,162980,0.218837,12632,0.0169613,3288,0.00441487,0,0,3292,0.00442025,24256,13.4538,744755
"logisticsc",1,1141,10719,0.0061461,3600,371,2,10830,0.00930428,186110,0.159891,517081,0.444235,163952,0.140855,261354,0.224535,16945,0.0145578,4048,0.00347772,0,0,3660,0.00314438,34034,15.1931,1163980
"logisticsd",1,4713,21991,0.00761863,724,92,0,22102,0.0151662,128744,0.0883433,320140,0.219678,228682,0.15692,749641,0.514399,6628,0.00454809,1378,0.000945575,0,0,0,0,42859,7.46961,1457315
"4_4_1",1,82,434,0.000641169,24,18,0,546,0.0231043,1354,0.0572952,6027,0.255036,10331,0.437161,4324,0.182972,816,0.0345295,234,0.00990183,0,0,0,0,518,11.6351,23632
"4_4_2",1,176,1054,0.00164654,161,124,1,1170,0.00573496,5535,0.0271308,55147,0.270313,89315,0.437793,43478,0.213115,6625,0.0324736,1592,0.00780346,0,0,1150,0.00563692,4692,11.7534,204012
"4_4_3",1,252,1614,0.0027178,466,248,2,1726,0.00391693,21585,0.0489843,142242,0.3228,159410,0.36176,95939,0.217721,12817,0.0290865,3438,0.00780209,0,0,3494,0.00792918,12071,11.7838,440651
"4_4_4",1,346,2246,0.00172062,223,109,1,2362,0.00910738,18434,0.0710777,81685,0.31496,89199,0.343933,58339,0.224943,6288,0.0242452,1610,0.00620783,0,0,1433,0.00552535,8193,9.9701,259350
"9_6_1",1,312,2261,0.00118177,85,50,0,2475,0.0202168,3376,0.0275765,31312,0.255769,39531,0.322905,41903,0.34228,3052,0.02493,774,0.00632234,0,0,0,0,2474,12.6564,122423
"9_6_2",1,642,5377,0.010022,1331,579,4,5489,0.00266493,87400,0.0424331,667397,0.324024,470664,0.228509,753619,0.365885,39642,0.0192464,9332,0.00453073,0,0,26171,0.0127061,40545,16.4606,2059714
"9_6_3",1,945,8403,0.00303349,511,152,1,8514,0.0156935,27181,0.0501017,197792,0.364582,97736,0.180153,195044,0.359517,11001,0.0202777,2752,0.00507265,0,0,2497,0.00460262,12718,15.5521,542517
"9_6_4",1,1275,11537,0.00671293,1022,376,2,11652,0.00886736,67953,0.0517134,522050,0.397289,225190,0.171373,447067,0.340225,25820,0.0196494,6714,0.00510946,0,0,7586,0.00577307,35223,14.8213,1314032
